x,y,year,geography code,geography,Ethnic Total,White,Mixed,Asian,Black,Other,Economic Total,Economically active,Economically active: In employment,Economically active: Unemployed,Economically inactive
14.307176,5.433734,2011,E07000030,Eden,52564,51999,211,292,22,40,38735,28413,26527,1886,10322
14.980895,4.554454,2011,E07000031,South Lakeland,103658,101962,633,787,183,93,75831,53396,49980,3416,22435
15.038483,4.078615,2011,E07000032,Amber Valley,122309,120023,980,929,253,124,90558,63280,57786,5494,27278
14.81749,5.09223,2011,E07000033,Bolsover,75866,74452,518,612,267,17,55945,37442,33578,3864,18503
15.14764,4.526551,2011,E07000034,Chesterfield,103788,100172,1094,1592,782,148,76409,51909,46543,5366,24500
14.691795,5.183658,2011,E07000035,Derbyshire Dales,71116,70117,466,398,87,48,51978,36541,34001,2540,15437
15.141856,4.3188314,2011,E07000036,Erewash,112081,108765,1269,1383,536,128,82609,59044,53309,5735,23565
15.024926,4.792248,2011,E07000037,High Peak,90892,88954,944,711,184,99,67389,48560,44173,4387,18829
15.046316,4.6310306,2011,E07000038,North East Derbyshire,99023,97084,786,795,236,122,73460,49919,45568,4351,23541
15.090958,4.7420244,2011,E07000039,South Derbyshire,94611,90527,1062,2375,425,222,69450,50358,46409,3949,19092
14.887002,3.9552596,2011,E07000040,East Devon,132457,130347,904,930,146,130,92782,62455,58078,4377,30327
15.444304,4.0912504,2011,E07000041,Exeter,117773,109590,1938,4595,667,983,89544,60870,53133,7737,28674
14.779196,5.0865183,2011,E07000042,Mid Devon,77750,76696,484,428,94,48,55847,40218,37514,2704,15629
15.0060625,4.785506,2011,E07000043,North Devon,93667,91742,785,835,158,147,67507,47119,43382,3737,20388
14.871099,4.979575,2011,E07000044,South Hams,83140,81784,653,458,121,124,60617,41639,38735,2904,18978
14.983509,4.0939837,2011,E07000045,Teignbridge,124220,122163,925,893,117,122,89471,61845,57108,4737,27626
14.558891,5.2956924,2011,E07000046,Torridge,63839,63021,429,271,51,67,46510,31158,28692,2466,15352
14.331028,5.4279838,2011,E07000047,West Devon,53553,52730,402,300,59,62,38941,26543,24473,2070,12398
14.12913,5.506079,2011,E07000048,Christchurch,47752,46591,505,495,83,78,32645,21420,19631,1789,11225
14.877212,4.9465594,2011,E07000049,East Dorset,87166,85645,594,737,106,84,61047,41576,38603,2973,19471
14.640179,5.238359,2011,E07000050,North Dorset,68583,66977,552,796,197,61,49140,34878,32614,2264,14262
14.080139,5.5157804,2011,E07000051,Purbeck,44973,44340,326,231,48,28,32379,22400,20743,1657,9979
14.967661,4.693492,2011,E07000052,West Dorset,99264,97284,770,934,169,107,70359,47566,44312,3254,22793
14.6401205,5.269875,2011,E07000053,Weymouth and Portland,65167,63480,653,640,321,73,47871,32103,29046,3057,15768
15.256922,4.66024,2011,E07000061,Eastbourne,99412,93508,1791,2795,783,535,70473,47926,42342,5584,22547
15.186865,4.796197,2011,E07000062,Hastings,90254,84631,1948,2126,1065,484,66036,44759,39256,5503,21277
15.097999,4.717695,2011,E07000063,Lewes,97502,94159,1275,1400,416,252,69269,48194,44029,4165,21075
14.935135,4.8843665,2011,E07000064,Rother,90588,87951,1031,1103,305,198,62861,39859,36504,3355,23002
14.826824,3.5049841,2011,E07000065,Wealden,148915,145173,1428,1719,343,252,105879,74214,68798,5416,31665
14.94139,2.727917,2011,E07000066,Basildon,174497,161677,2887,4766,4685,482,125795,89570,80665,8905,36225
14.924541,3.4610894,2011,E07000067,Braintree,147084,142087,1837,1998,913,249,106718,78715,72016,6699,28003
14.860144,5.160906,2011,E07000068,Brentwood,73601,68868,1196,2350,896,291,52959,38149,35283,2866,14810
15.010249,4.8775744,2011,E07000069,Castle Point,88011,85273,911,1012,661,154,64626,44080,40222,3858,20546
14.887516,2.8535411,2011,E07000070,Chelmsford,168310,157983,2646,4962,2051,668,123693,91339,83355,7984,32354
15.2506075,2.6221817,2011,E07000071,Colchester,173074,159306,3152,6355,2575,1686,128562,91385,81214,10171,37177
15.422212,4.018068,2011,E07000072,Epping Forest,124659,112869,2649,5922,2404,815,90622,65304,59936,5368,25318
15.135536,4.992676,2011,E07000073,Harlow,81944,72999,1752,3733,3090,370,58669,43847,39010,4837,14822
14.536596,5.3200827,2011,E07000074,Maldon,61629,60429,506,484,150,60,45406,31856,29513,2343,13550
14.927887,4.978488,2011,E07000075,Rochford,83287,80937,905,881,433,131,60425,42804,39503,3301,17621
14.898069,3.763529,2011,E07000076,Tendring,138048,134667,1467,1275,434,205,97050,59908,53285,6623,37142
14.870385,5.0529613,2011,E07000077,Uttlesford,79443,76761,977,1122,417,166,57086,42473,39603,2870,14613
15.280275,4.1843634,2011,E07000078,Cheltenham,115732,109084,1878,3675,721,374,86090,62763,55838,6925,23327
14.873421,4.987189,2011,E07000079,Cotswold,82881,81075,698,794,229,85,60075,43206,40303,2903,16869
14.891418,4.988976,2011,E07000080,Forest of Dean,81961,80699,528,473,199,62,60341,41490,37834,3656,18851
15.287994,3.9783027,2011,E07000081,Gloucester,121688,108462,3565,5839,3486,336,88942,65740,58990,6750,23202
15.045166,4.3329096,2011,E07000082,Stroud,112779,110426,1216,751,260,126,81955,59980,55589,4391,21975
14.891752,4.9980326,2011,E07000083,Tewkesbury,81943,79901,776,901,255,110,59685,43454,40346,3108,16231
14.736715,2.8433611,2011,E07000084,Basingstoke and Deane,167799,155888,2813,6715,1909,474,123243,94800,87347,7453,28443
15.121593,4.288459,2011,E07000085,East Hampshire,115608,111635,1305,1859,517,292,83522,60953,56610,4343,22569
15.222942,4.0097914,2011,E07000086,Eastleigh,125199,118537,1740,3740,605,577,91582,69033,63539,5494,22549
15.131985,4.3617773,2011,E07000087,Fareham,111581,107959,1359,1667,357,239,81198,59063,54335,4728,22135
14.992337,4.9922657,2011,E07000088,Gosport,82622,79685,1066,1073,592,206,59499,42981,38861,4120,16518
15.035351,4.812631,2011,E07000089,Hart,91033,86355,1457,2448,506,267,66087,49875,46585,3290,16212
15.131109,4.166244,2011,E07000090,Havant,120684,117162,1514,1427,388,193,86247,59601,53672,5929,26646
14.44327,2.8378727,2011,E07000091,New Forest,176462,172160,1620,1665,612,405,124798,86776,80253,6523,38022
15.27297,4.69684,2011,E07000092,Rushmoor,93807,79520,2057,9755,1868,607,69652,54145,49311,4834,15507
15.157619,4.255009,2011,E07000093,Test Valley,116398,111645,1494,2368,487,404,84652,62141,57783,4358,22511
15.212285,4.237898,2011,E07000094,Winchester,116595,111577,1626,2639,457,296,84495,60029,54075,5954,24466
15.347759,4.7533712,2011,E07000095,Broxbourne,93609,84530,2141,2190,3957,791,67599,49426,44754,4672,18173
15.219189,3.476689,2011,E07000096,Dacorum,144847,131537,3075,6770,2990,475,104410,77800,71048,6752,26610
15.451685,4.61277,2011,E07000098,Hertsmere,100031,85063,2619,7393,3927,1029,71511,52435,47789,4646,19076
15.31802,3.9137442,2011,E07000099,North Hertfordshire,127114,113755,3376,6821,2491,671,91510,68564,62969,5595,22946
15.114681,4.896713,2011,E07000102,Three Rivers,87317,75294,2002,7993,1610,418,62440,46280,42662,3618,16160
15.190609,4.671565,2011,E07000103,Watford,90301,64946,3104,16170,5229,852,66285,50770,45809,4961,15515
15.292685,4.24176,2011,E07000105,Ashford,117956,110520,1682,3991,1375,388,84252,61189,55559,5630,23063
15.120928,3.1815352,2011,E07000106,Canterbury,151145,140620,2551,5135,1937,902,111867,71322,59993,11329,40545
15.401974,4.665928,2011,E07000107,Dartford,97365,85070,2161,5799,3578,757,70488,53184,48120,5064,17304
15.164978,4.3800006,2011,E07000108,Dover,111674,107966,1029,2031,386,262,80786,54478,48919,5559,26308
15.6467705,4.5695972,2011,E07000109,Gravesham,101720,84226,2066,10604,2885,1939,73191,51903,46129,5774,21288
14.989319,3.2384846,2011,E07000110,Maidstone,155143,145996,2345,4943,1380,479,113231,82528,75777,6751,30703
15.132313,4.3174257,2011,E07000111,Sevenoaks,114893,110029,1675,2085,853,251,82098,58707,54533,4174,23391
15.22906,4.4623823,2011,E07000112,Folkestone and Hythe,107969,102215,1267,3699,458,330,77938,52387,46534,5853,25551
15.095357,3.7631116,2011,E07000113,Swale,135835,131155,1575,1489,1395,221,98607,67913,61155,6758,30694
15.143999,3.8116238,2011,E07000114,Thanet,134186,128194,2186,2504,910,392,94452,61272,53119,8153,33180
15.172733,4.169999,2011,E07000115,Tonbridge and Malling,120805,115872,1677,2431,421,404,86435,63039,58121,4918,23396
15.181923,4.306529,2011,E07000116,Tunbridge Wells,115049,109239,1893,2903,638,376,82052,59986,55524,4462,22066
15.063519,4.898301,2011,E07000117,Burnley,87059,76054,976,9578,211,240,63376,41879,36907,4972,21497
15.122183,4.43803,2011,E07000118,Chorley,107155,103833,1016,1710,401,195,79951,56645,52009,4636,23306
14.812468,5.121823,2011,E07000119,Fylde,75757,73844,742,845,163,163,54544,36447,33285,3162,18097
14.948924,5.0313864,2011,E07000120,Hyndburn,80734,70778,696,9007,106,147,58356,39118,34663,4455,19238
15.047052,3.6062639,2011,E07000121,Lancaster,138375,132342,1356,3732,628,317,103296,67262,58498,8764,36034
14.930691,4.8238373,2011,E07000122,Pendle,89452,71437,946,16807,126,136,64440,42765,37965,4800,21675
15.252344,3.3303814,2011,E07000123,Preston,140202,112415,3326,21732,1676,1053,104085,70509,59350,11159,33576
14.414295,5.390312,2011,E07000124,Ribble Valley,57132,55904,360,729,92,47,41285,29672,27612,2060,11613
14.731745,5.234087,2011,E07000125,Rossendale,67982,63778,602,3396,123,83,50075,35186,31864,3322,14889
15.104088,4.398673,2011,E07000126,South Ribble,109057,105847,1174,1612,268,156,80458,58577,53816,4761,21881
15.114162,4.343598,2011,E07000127,West Lancashire,110685,108603,866,913,174,129,81601,55680,48969,6711,25921
15.041928,4.4781837,2011,E07000128,Wyre,107749,105852,664,993,130,110,77663,51450,46576,4874,26213
15.165627,4.759162,2011,E07000129,Blaby,93915,85451,1505,5718,900,341,68558,50661,46701,3960,17897
15.121898,2.8108275,2011,E07000130,Charnwood,166100,145114,2577,16138,1327,944,124967,84609,75236,9373,40358
14.965505,4.942604,2011,E07000131,Harborough,85382,81316,971,2563,327,205,61913,45791,42742,3049,16122
15.098764,4.497504,2011,E07000132,Hinckley and Bosworth,105078,101369,1027,2246,262,174,77716,56538,52259,4279,21178
14.2709255,5.457152,2011,E07000133,Melton,50376,49319,414,518,95,30,36955,27422,25358,2064,9533
15.027959,4.761813,2011,E07000134,North West Leicestershire,93468,91187,881,1074,205,121,68556,48999,44994,4005,19557
14.536236,5.3899927,2011,E07000135,Oadby and Wigston,56170,41011,1176,12520,671,792,40797,28119,25226,2893,12678
14.663357,5.2873015,2011,E07000136,Boston,64637,62592,664,928,278,175,47306,33031,30070,2961,14275
14.748301,3.7335732,2011,E07000137,East Lindsey,136401,134314,937,789,264,97,99928,60716,54875,5841,39212
15.177008,4.617114,2011,E07000138,Lincoln,93541,89379,1230,1794,778,360,71577,49523,40981,8542,22054
15.044365,4.463228,2011,E07000139,North Kesteven,107766,105835,791,750,251,139,78616,55065,50921,4144,23551
14.966375,4.884638,2011,E07000140,South Holland,88270,86370,796,747,257,100,63920,44276,40532,3744,19644
14.992268,3.824376,2011,E07000141,South Kesteven,133788,130394,1142,1580,509,163,97319,70273,64499,5774,27046
14.971777,4.8498044,2011,E07000142,West Lindsey,89250,87600,630,728,224,68,65531,44768,40734,4034,20763
15.031064,3.9187357,2011,E07000143,Breckland,130491,127116,1562,1040,596,177,94176,65029,59621,5408,29147
15.021809,4.0717244,2011,E07000144,Broadland,124646,121795,1064,1265,331,191,90305,64232,59597,4635,26073
15.127872,4.678114,2011,E07000145,Great Yarmouth,97277,94215,1159,1204,439,260,70234,46018,40055,5963,24216
14.878901,3.5006828,2011,E07000146,King's Lynn and West Norfolk,147451,143409,1372,1863,561,246,106591,71704,65459,6245,34887
14.92589,4.6289396,2011,E07000147,North Norfolk,101499,100127,617,531,157,67,72453,45819,42147,3672,26634
15.429987,3.5828671,2011,E07000148,Norwich,132512,120375,3039,5844,2147,1107,100702,68772,58247,10525,31930
15.032389,4.0939994,2011,E07000149,South Norfolk,124012,120981,1214,1270,378,169,89337,63158,58512,4646,26179
14.640379,5.323081,2011,E07000150,Corby,61255,58519,836,782,1008,110,45049,33166,29686,3480,11883
14.871463,5.056866,2011,E07000151,Daventry,77843,75123,971,1183,481,85,57379,41546,38296,3250,15833
14.991915,4.906966,2011,E07000152,East Northamptonshire,86765,83842,1052,1096,630,145,63006,45821,42219,3602,17185
15.193205,4.7762628,2011,E07000153,Kettering,93475,87740,1313,3023,991,408,67920,50012,45524,4488,17908
14.823266,1.2789371,2011,E07000154,Northampton,212069,179238,6849,13751,10741,1490,155682,115479,101887,13592,40203
14.921765,4.919425,2011,E07000155,South Northamptonshire,85189,82572,1003,1129,376,109,62321,47449,44317,3132,14872
14.957579,5.079116,2011,E07000156,Wellingborough,75356,65788,2158,4463,2696,251,54817,39247,35256,3991,15570
14.375473,5.4106226,2011,E07000163,Craven,55409,53964,375,970,61,39,40056,28744,26704,2040,11312
14.937385,4.8589177,2011,E07000164,Hambleton,89140,87635,593,600,188,124,65255,47068,43959,3109,18187
14.792868,3.216797,2011,E07000165,Harrogate,157869,152075,1776,2409,1147,462,114038,84662,78711,5951,29376
14.356394,5.4444146,2011,E07000166,Richmondshire,51965,49556,502,1247,496,164,38652,29017,27166,1851,9635
14.274509,5.448196,2011,E07000167,Ryedale,51751,51064,302,273,80,32,37581,26644,24785,1859,10937
15.119391,4.4250307,2011,E07000168,Scarborough,108793,106104,869,1364,240,216,79393,52245,46482,5763,27148
14.914655,4.9449368,2011,E07000169,Selby,83449,82077,626,493,212,41,61831,45720,41990,3730,16111
15.095393,4.1500382,2011,E07000170,Ashfield,119497,116733,1059,1099,472,134,88037,59970,53931,6039,28067
15.124819,4.319531,2011,E07000171,Bassetlaw,112863,109892,996,1255,520,200,83305,56556,51284,5272,26749
15.368157,4.3733006,2011,E07000172,Broxtowe,109487,101538,1827,4503,933,686,81573,56838,51329,5509,24735
15.2372265,4.2494793,2011,E07000173,Gedling,113543,105656,2619,3343,1653,272,83284,59493,53867,5626,23791
15.126962,4.5014935,2011,E07000174,Mansfield,104466,101522,1106,1289,398,151,77155,52392,46961,5431,24763
15.104681,4.280491,2011,E07000175,Newark and Sherwood,114817,111958,1160,1036,499,164,84145,57971,52872,5099,26174
15.257089,4.3679695,2011,E07000176,Rushcliffe,111129,103504,1949,4614,627,435,80755,58045,53133,4912,22710
15.145351,3.567848,2011,E07000177,Cherwell,141868,130761,2560,6039,1961,547,103269,78160,72552,5608,25109
15.355803,2.6004567,2011,E07000178,Oxford,151906,117957,6035,18827,7028,2059,118437,74923,63453,11470,43514
14.982487,3.8106072,2011,E07000179,South Oxfordshire,134257,128993,1801,2405,768,290,96892,72820,68205,4615,24072
15.174323,4.1498036,2011,E07000180,Vale of White Horse,120988,114824,1574,2962,1230,398,87477,65710,61185,4525,21767
15.025202,4.5087314,2011,E07000181,West Oxfordshire,104779,101469,1263,1424,437,186,76163,58506,54940,3566,17657
15.041805,4.438858,2011,E07000187,Mendip,109279,107057,996,929,210,87,78653,56462,52172,4290,22191
15.066109,4.30741,2011,E07000188,Sedgemoor,114588,112724,869,735,140,120,82903,57966,52751,5215,24937
14.564394,3.1753523,2011,E07000189,South Somerset,161243,158130,1158,1409,357,189,115790,82390,76498,5892,33400
15.096631,4.4304433,2011,E07000190,Taunton Deane,110187,107116,1010,1608,286,167,78921,56832,52280,4552,22089
13.732311,5.588141,2011,E07000191,West Somerset,34675,34228,208,192,20,27,24918,16118,14985,1133,8800
15.081854,4.650546,2011,E07000192,Cannock Chase,97462,95256,867,982,280,77,72274,51306,46115,5191,20968
15.308409,4.3145494,2011,E07000193,East Staffordshire,113583,102704,1619,7864,1023,373,83059,58578,53144,5434,24481
15.0853,4.592289,2011,E07000194,Lichfield,100654,97399,1034,1623,481,117,74757,51862,47536,4326,22895
15.229557,4.0089173,2011,E07000195,Newcastle-under-Lyme,123871,117662,1490,3512,828,379,92335,61568,54599,6969,30767
15.160222,4.4036827,2011,E07000196,South Staffordshire,108131,103700,1495,2122,578,236,80718,56418,51671,4747,24300
15.229542,3.846028,2011,E07000197,Stafford,130869,124308,1694,3288,1107,472,97297,68274,61923,6351,29023
14.985966,4.672866,2011,E07000198,Staffordshire Moorlands,97106,95825,602,502,120,57,72085,49988,46130,3858,22097
14.893938,5.0690613,2011,E07000199,Tamworth,76813,74761,803,763,393,93,56833,41188,37120,4068,15645
14.949293,4.9050245,2011,E07000200,Babergh,87740,85845,827,666,264,138,63075,44347,41035,3312,18728
14.6358185,5.330598,2011,E07000201,Forest Heath,59748,54907,1744,1263,1296,538,44053,33115,30717,2398,10938
15.330726,3.5703576,2011,E07000202,Ipswich,133384,118596,4816,5740,3096,1136,97167,71423,63192,8231,25744
15.000116,4.7071466,2011,E07000203,Mid Suffolk,96731,94667,953,647,371,93,70073,50607,47096,3511,19466
15.160679,4.374445,2011,E07000204,St Edmundsbury,111008,106615,1404,1824,902,263,80968,59324,54760,4564,21644
15.077095,4.114282,2011,E07000205,Suffolk Coastal,124298,119976,1513,2032,556,221,88250,61006,56467,4539,27244
15.076183,4.3073354,2011,E07000206,Waveney,115254,112589,1215,959,369,122,81877,53460,47714,5746,28417
15.332052,3.8845031,2011,E07000207,Elmbridge,130875,118123,3411,7075,1010,1256,92027,67522,62942,4580,24505
15.069617,5.1242514,2011,E07000208,Epsom and Ewell,75102,64502,1922,6484,1128,1066,54170,39844,36449,3395,14326
15.599728,3.6105528,2011,E07000209,Guildford,137183,124707,2501,6616,1656,1703,102054,73649,65900,7749,28405
15.000343,4.962428,2011,E07000210,Mole Valley,85375,81168,1257,2177,399,374,60778,44170,41169,3001,16608
15.264468,3.6756086,2011,E07000211,Reigate and Banstead,137835,124879,3037,6992,2166,761,99173,74614,69231,5383,24559
15.170464,5.0039887,2011,E07000212,Runnymede,80510,71633,1671,5561,862,783,59793,42816,38321,4495,16977
15.305572,4.6883144,2011,E07000213,Spelthorne,95598,83455,2382,7295,1545,921,69916,52767,48765,4002,17149
15.128078,4.920866,2011,E07000214,Surrey Heath,86144,77692,1626,5389,861,576,62565,47016,43500,3516,15549
14.957798,4.97516,2011,E07000215,Tandridge,82998,77880,1789,2164,882,283,59457,43692,40722,2970,15765
15.160476,4.189713,2011,E07000216,Waverley,121572,116717,1623,2283,538,411,85617,61649,57117,4532,23968
15.368876,4.6178203,2011,E07000217,Woking,99198,82926,2335,11462,1383,1092,71722,54052,49576,4476,17670
14.576561,5.307525,2011,E07000218,North Warwickshire,62014,60709,506,580,172,47,46170,33151,30410,2741,13019
15.359451,4.014031,2011,E07000219,Nuneaton and Bedworth,125252,114392,1396,7880,1047,537,92090,65173,58292,6881,26917
15.240162,4.61373,2011,E07000220,Rugby,100075,90565,1986,5225,1987,312,72759,53457,49018,4439,19302
15.042071,4.155655,2011,E07000221,Stratford-on-Avon,120485,117307,1258,1466,264,190,87728,63253,58844,4409,24475
15.445114,3.6006978,2011,E07000222,Warwick,137648,122715,2803,9945,973,1212,102883,73309,66564,6745,29574
14.588498,5.3467064,2011,E07000223,Adur,61182,58663,886,1058,313,262,43860,31054,28482,2572,12806
14.884035,3.4871805,2011,E07000224,Arun,149518,145118,1502,2116,538,244,106071,71573,65185,6388,34498
15.150166,4.359985,2011,E07000225,Chichester,113794,110322,1092,1617,518,245,81037,56102,51005,5097,24935
15.435438,4.362423,2011,E07000226,Crawley,106597,85180,3098,13825,3469,1025,77348,59495,53637,5858,17853
15.050734,3.898823,2011,E07000227,Horsham,131301,126062,1774,2585,651,229,94318,69240,64165,5075,25078
