x,y,year,geography code,geography,Ethnic Total,Asian,Black,Mixed,White,Other,Economic Total,Economically active,Economically active: In employment,Economically active: Unemployed,Economically inactive
11.596053,11.21951,2021,E07000064,Rother,93114,1390,561,1702,88993,468,79489,39914,37934,1980,39575
4.691512,12.433533,2021,E07000065,Wealden,160152,2250,646,2709,153809,738,133648,77504,74543,2961,56144
3.22563,10.790596,2021,E07000066,Basildon,187567,7995,8913,4938,164116,1605,148662,93971,89010,4961,54691
5.033669,11.747492,2021,E07000067,Braintree,155265,2566,1889,3014,146981,815,126567,79834,76282,3552,46733
11.635917,9.671902,2021,E07000068,Brentwood,77048,3913,1747,2368,68194,826,62866,39506,37900,1606,23360
11.897434,10.511882,2021,E07000069,Castle Point,89582,1550,1179,1446,84981,426,74405,42904,41002,1902,31501
3.5579672,10.918188,2021,E07000070,Chelmsford,181523,9646,4756,4724,160701,1696,147737,93844,89861,3983,53893
3.1168694,10.811029,2021,E07000071,Colchester,192716,9907,6661,5602,167701,2845,156342,97495,92015,5480,58847
5.5823293,10.335847,2021,E07000072,Epping Forest,134980,9678,3932,4896,113469,3005,109932,69230,65796,3434,40702
10.791626,9.516007,2021,E07000073,Harlow,93330,5555,5827,3048,77214,1686,73102,48826,45981,2845,24276
13.943957,8.808507,2021,E07000074,Maldon,66211,741,236,897,64129,208,55426,32581,31254,1327,22845
12.013182,10.128566,2021,E07000075,Rochford,85662,1185,633,1432,82116,296,70713,42485,40661,1824,28228
5.764564,12.578222,2021,E07000076,Tendring,148293,1794,910,2393,142656,540,124890,62132,58280,3852,62758
11.443581,10.139226,2021,E07000077,Uttlesford,91344,1722,709,2016,86296,601,73519,47470,45740,1730,26049
8.465625,10.951365,2021,E07000078,Cheltenham,118836,4922,1181,2949,108559,1225,98436,61873,59157,2716,36563
11.796718,10.619208,2021,E07000079,Cotswold,90830,1195,402,1393,87510,330,76315,45652,44079,1573,30663
12.109068,10.577718,2021,E07000080,Forest of Dean,87004,625,242,925,84869,343,73046,41777,39989,1788,31269
5.9815335,10.428295,2021,E07000081,Gloucester,132414,8543,4826,5014,112461,1570,106939,68956,65621,3335,37983
8.577277,11.851297,2021,E07000082,Stroud,121104,1256,528,2171,116701,448,100197,62038,59919,2119,38159
11.418523,10.509656,2021,E07000083,Tewkesbury,94882,1924,595,1699,90206,458,77353,48226,46524,1702,29127
3.5692627,10.931552,2021,E07000084,Basingstoke and Deane,185154,10967,3611,4717,163840,2019,149807,101108,96973,4135,48699
7.814114,11.944224,2021,E07000085,East Hampshire,125742,2370,658,2079,119993,642,103829,64115,61732,2383,39714
7.0679374,11.565329,2021,E07000086,Eastleigh,136444,5256,1300,2817,126083,988,110330,72212,69514,2698,38118
9.234157,11.700031,2021,E07000087,Fareham,114512,2114,670,1727,109499,502,95636,57693,55629,2064,37943
12.145095,9.912191,2021,E07000088,Gosport,81949,1169,984,1210,78136,450,67213,40568,38486,2082,26645
10.787287,10.460692,2021,E07000089,Hart,99404,3595,843,2231,91952,783,80326,52411,50444,1967,27915
8.225799,12.339075,2021,E07000090,Havant,124210,2107,750,1719,119127,507,102866,59350,56369,2981,43516
4.175997,12.403638,2021,E07000091,New Forest,175782,2103,703,2215,170118,643,148742,81777,78700,3077,66965
10.519053,9.323058,2021,E07000092,Rushmoor,99759,14658,2531,2578,77219,2773,80872,55548,53017,2531,25324
7.2653437,11.660707,2021,E07000093,Test Valley,130491,4284,1458,2312,121457,980,106753,68171,65862,2309,38582
7.617372,11.801086,2021,E07000094,Winchester,127444,3917,792,2590,119305,840,104750,63289,60573,2716,41461
10.476729,9.419644,2021,E07000095,Broxbourne,99007,3657,6588,3930,80301,4531,79437,50969,48306,2663,28468
