x,y,geography code,year
4.6105065,8.708579,E07000224,2011
8.539886,10.106866,E07000225,2011
11.947794,8.554111,E07000226,2011
5.8992186,8.962152,E07000227,2011
5.201577,8.381511,E07000228,2011
10.22779,9.893423,E07000229,2011
2.9874787,6.4804983,E06000022,2011
2.641055,5.9791675,E06000028,2011
0.5051654,3.2662418,E06000023,2011
0.7218142,2.833691,E06000052,2011
16.661747,8.503981,E06000053,2011
2.8879895,5.507976,E06000024,2011
2.0423512,3.8947008,E06000026,2011
4.648241,8.22222,E06000029,2011
1.941872,3.7146335,E06000025,2011
2.293032,5.2774296,E06000030,2011
5.3515596,9.606063,E06000027,2011
0.7723262,2.7947218,E06000054,2011
6.428657,9.580274,E07000040,2011
5.861752,9.872571,E07000041,2011
13.817282,10.156186,E07000042,2011
11.6788,10.276428,E07000043,2011
13.190599,10.504813,E07000044,2011
6.5837665,9.736959,E07000045,2011
15.723031,9.243168,E07000046,2011
16.649338,8.541883,E07000047,2011
16.59473,8.578448,E07000048,2011
12.967767,10.556571,E07000049,2011
15.484198,9.295004,E07000050,2011
16.60583,8.453265,E07000051,2011
11.027003,10.047432,E07000052,2011
15.645603,9.268927,E07000053,2011
7.319936,9.1267605,E07000078,2011
13.438489,10.344146,E07000079,2011
13.28695,10.521211,E07000080,2011
5.629225,7.9597845,E07000081,2011
8.25308,9.450536,E07000082,2011
13.616248,10.19861,E07000083,2011
8.676177,9.504897,E07000187,2011
8.257204,10.109023,E07000188,2011
4.132276,7.907205,E07000189,2011
8.632164,9.5748625,E07000190,2011
16.594608,8.6087055,E07000191,2011
15.321453,9.392738,W06000001,2011
5.976236,9.970066,W06000002,2011
8.777061,10.37021,W06000003,2011
11.618021,10.467293,W06000004,2011
4.3574843,8.29855,W06000005,2011
5.192746,9.3958,W06000006,2011
6.016732,9.436632,W06000023,2011
14.905585,9.576384,W06000008,2011
6.7474074,9.989064,W06000009,2011
3.5384412,6.5158515,W06000010,2011
2.1804595,4.1297083,W06000011,2011
4.694207,9.42061,W06000012,2011
4.726077,9.374058,W06000013,2011
5.7812576,9.658096,W06000014,2011
0.7203247,3.4056468,W06000015,2011
2.3542383,4.2653966,W06000016,2011
15.941375,9.231742,W06000024,2011
3.531304,6.5641084,W06000018,2011
15.046655,9.561472,W06000019,2011
11.77063,10.462156,W06000020,2011
11.990495,10.426285,W06000021,2011
3.8444762,8.696572,W06000022,2011
11.687075,11.050665,E06000001,2021
5.6056848,10.960889,E06000002,2021
5.873546,12.567439,E06000003,2021
2.9313986,11.567831,E06000004,2021
10.082681,11.164948,E06000005,2021
7.8623543,12.311954,E06000006,2021
2.763391,11.571017,E06000007,2021
5.0036535,10.303085,E06000008,2021
5.844265,12.159342,E06000009,2021
0.97836083,11.265762,E06000010,2021
-0.408626,11.304003,E06000011,2021
5.0232315,12.2500925,E06000012,2021
4.233852,12.41271,E06000013,2021
2.801666,11.511944,E06000014,2021
1.2430263,10.29084,E06000015,2021
0.27713194,8.688753,E06000016,2021
14.59129,8.609511,E06000017,2021
0.19592924,9.393511,E06000018,2021
3.8855658,12.293947,E06000019,2021
3.2760108,10.921362,E06000020,2021
1.3694711,10.800326,E06000021,2021
3.0740352,11.196379,E06000022,2021
-1.0265641,10.224096,E06000023,2021
2.7044172,11.588518,E06000024,2021
0.50534236,11.058203,E06000025,2021
0.9177177,11.40102,E06000026,2021
5.910216,12.598002,E06000027,2021
2.049384,10.540385,E06000030,2021
2.2409973,10.21863,E06000031,2021
1.3621744,9.430022,E06000032,2021
3.3372045,10.953856,E06000033,2021
3.3481903,10.606312,E06000034,2021
0.94846356,10.562497,E06000035,2021
6.901125,10.670139,E06000036,2021
4.9127283,11.323506,E06000037,2021
2.8266556,9.957659,E06000038,2021
3.038878,9.750657,E06000039,2021
5.1383057,10.432841,E06000040,2021
3.5471203,10.561481,E06000041,2021
0.8790908,9.941858,E06000042,2021
0.7336401,10.481838,E06000043,2021
2.4785914,10.798283,E06000044,2021
1.398247,10.459223,E06000045,2021
5.8256173,12.67676,E06000046,2021
-0.9021137,10.690153,E06000047,2021
-0.73171127,10.969288,E06000049,2021
-0.50810945,11.155541,E06000050,2021
-0.2683866,11.382278,E06000051,2021
-0.98702097,10.545376,E06000052,2021
14.545182,8.529317,E06000053,2021
-0.9465919,10.722154,E06000054,2021
2.8316627,10.139588,E06000055,2021
0.5272274,10.904544,E06000056,2021
-0.25288463,11.393692,E06000057,2021
-0.73531103,10.772041,E06000058,2021
-0.6274605,11.248603,E06000059,2021
-0.9570413,10.333305,E06000060,2021
-0.43975562,10.99169,E06000061,2021
-0.7650826,10.58227,E06000062,2021
5.0177884,10.348681,E07000008,2021
11.5789,10.059696,E07000009,2021
10.6250725,11.37528,E07000010,2021
3.6360028,11.025606,E07000011,2021
4.9789357,11.068033,E07000012,2021
11.614257,11.164864,E07000026,2021
13.88776,8.891433,E07000027,2021
9.746128,11.712334,E07000028,2021
13.888114,8.98497,E07000029,2021
14.585057,8.63283,E07000030,2021
10.745816,11.603692,E07000031,2021
7.7915897,12.279419,E07000032,2021
12.262194,9.975055,E07000033,2021
10.4221945,11.407274,E07000034,2021
13.749818,9.039908,E07000035,2021
9.326487,11.635592,E07000036,2021
11.711539,10.64398,E07000037,2021
10.940273,11.473695,E07000038,2021
10.041728,11.414476,E07000039,2021
5.275428,12.622114,E07000040,2021
6.972662,11.730092,E07000041,2021
12.208173,10.098918,E07000042,2021
11.213265,11.309535,E07000043,2021
12.2186985,10.679214,E07000044,2021
6.9733505,12.435795,E07000045,2021
13.874548,9.063705,E07000046,2021
14.472124,8.615121,E07000047,2021
10.254099,10.870258,E07000061,2021
11.017528,9.887502,E07000062,2021
10.699405,10.907583,E07000063,2021
11.596053,11.21951,E07000064,2021
4.691512,12.433533,E07000065,2021
3.22563,10.790596,E07000066,2021
5.033669,11.747492,E07000067,2021
11.635917,9.671902,E07000068,2021
11.897434,10.511882,E07000069,2021
3.5579672,10.918188,E07000070,2021
3.1168694,10.811029,E07000071,2021
5.5823293,10.335847,E07000072,2021
10.791626,9.516007,E07000073,2021
13.943957,8.808507,E07000074,2021
12.013182,10.128566,E07000075,2021
5.764564,12.578222,E07000076,2021
