x,y,year,geography code,geography,Ethnic Total,Asian,Black,Mixed,White,Other,Economic Total,Economically active,Economically active: In employment,Economically active: Unemployed,Economically inactive
-11.362732,12.113097,2021,E07000071,Colchester,192716,9907,6661,5602,167701,2845,156342,97495,92015,5480,58847
-12.717749,11.432012,2021,E07000072,Epping Forest,134980,9678,3932,4896,113469,3005,109932,69230,65796,3434,40702
-13.429767,10.79719,2021,E07000073,Harlow,93330,5555,5827,3048,77214,1686,73102,48826,45981,2845,24276
-13.510754,10.190042,2021,E07000074,Maldon,66211,741,236,897,64129,208,55426,32581,31254,1327,22845
-13.433807,10.584985,2021,E07000075,Rochford,85662,1185,633,1432,82116,296,70713,42485,40661,1824,28228
-12.312073,11.434499,2021,E07000076,Tendring,148293,1794,910,2393,142656,540,124890,62132,58280,3852,62758
-13.359949,10.654643,2021,E07000077,Uttlesford,91344,1722,709,2016,86296,601,73519,47470,45740,1730,26049
-13.018393,11.189031,2021,E07000078,Cheltenham,118836,4922,1181,2949,108559,1225,98436,61873,59157,2716,36563
-13.344075,10.657033,2021,E07000079,Cotswold,90830,1195,402,1393,87510,330,76315,45652,44079,1573,30663
-13.4135895,10.608874,2021,E07000080,Forest of Dean,87004,625,242,925,84869,343,73046,41777,39989,1788,31269
-12.67416,11.289235,2021,E07000081,Gloucester,132414,8543,4826,5014,112461,1570,106939,68956,65621,3335,37983
-12.865728,11.090842,2021,E07000082,Stroud,121104,1256,528,2171,116701,448,100197,62038,59919,2119,38159
-13.324507,10.717042,2021,E07000083,Tewkesbury,94882,1924,595,1699,90206,458,77353,48226,46524,1702,29127
-11.419408,11.865546,2021,E07000084,Basingstoke and Deane,185154,10967,3611,4717,163840,2019,149807,101108,96973,4135,48699
-12.832649,11.19899,2021,E07000085,East Hampshire,125742,2370,658,2079,119993,642,103829,64115,61732,2383,39714
-12.633725,11.334146,2021,E07000086,Eastleigh,136444,5256,1300,2817,126083,988,110330,72212,69514,2698,38118
-13.032661,11.045499,2021,E07000087,Fareham,114512,2114,670,1727,109499,502,95636,57693,55629,2064,37943
-13.505716,10.554999,2021,E07000088,Gosport,81949,1169,984,1210,78136,450,67213,40568,38486,2082,26645
-13.291141,10.817174,2021,E07000089,Hart,99404,3595,843,2231,91952,783,80326,52411,50444,1967,27915
-12.925085,11.228705,2021,E07000090,Havant,124210,2107,750,1719,119127,507,102866,59350,56369,2981,43516
-11.609301,11.703545,2021,E07000091,New Forest,175782,2103,703,2215,170118,643,148742,81777,78700,3077,66965
-13.39368,10.947093,2021,E07000092,Rushmoor,99759,14658,2531,2578,77219,2773,80872,55548,53017,2531,25324
-12.765619,11.273476,2021,E07000093,Test Valley,130491,4284,1458,2312,121457,980,106753,68171,65862,2309,38582
-12.859301,11.264047,2021,E07000094,Winchester,127444,3917,792,2590,119305,840,104750,63289,60573,2716,41461
-13.27407,10.89153,2021,E07000095,Broxbourne,99007,3657,6588,3930,80301,4531,79437,50969,48306,2663,28468
-12.185427,11.534342,2021,E07000096,Dacorum,155081,8948,4411,5266,134602,1854,123783,80791,77199,3592,42992
-13.25058,11.063043,2021,E07000098,Hertsmere,107827,11320,5181,4038,83145,4143,86193,55526,52767,2759,30667
-12.613649,11.2476015,2021,E07000099,North Hertfordshire,133210,6956,3235,4913,116620,1486,107743,70011,67162,2849,37732
-13.4063015,10.741129,2021,E07000102,Three Rivers,93772,14265,2233,3390,72316,1568,75002,49093,46947,2146,25909
-13.057396,10.738877,2021,E07000103,Watford,102245,25037,6488,4844,62228,3648,80963,55941,52859,3082,25022
-12.902266,11.44666,2021,E07000105,Ashford,132747,7668,3424,2877,116896,1882,106770,66680,63616,3064,40090
-12.193846,11.755099,2021,E07000106,Canterbury,157429,6377,3906,4316,140473,2357,132778,71404,66169,5235,61374
-12.938799,11.021539,2021,E07000107,Dartford,116754,11513,12282,3638,86936,2385,90698,61827,58823,3004,28871
-13.130234,11.170726,2021,E07000108,Dover,116411,2402,837,1754,110419,999,96135,53982,50929,3053,42153
-13.382613,11.116101,2021,E07000109,Gravesham,106902,11999,6952,2828,81893,3230,84556,53012,49761,3251,31544
-11.822607,11.894916,2021,E07000110,Maidstone,175781,8213,3606,4013,157864,2085,142136,90263,86409,3854,51873
-12.989101,11.121213,2021,E07000111,Sevenoaks,120515,3484,1932,3181,111005,913,96603,58728,56384,2344,37875
-13.250401,11.090945,2021,E07000112,Folkestone and Hythe,109759,4271,682,2108,101614,1084,91555,50765,47819,2946,40790
-12.395554,11.592424,2021,E07000113,Swale,151677,2312,3487,2741,142341,796,121998,73117,69201,3916,48881
-12.636289,11.497286,2021,E07000114,Thanet,140587,3259,1481,3420,130719,1708,115413,63337,59189,4148,52076
-12.740232,11.252969,2021,E07000115,Tonbridge and Malling,132201,3876,1314,2943,123287,781,105526,66991,64426,2565,38535
-13.094988,11.074729,2021,E07000116,Tunbridge Wells,115314,4566,1131,2949,105562,1106,92402,58284,55898,2386,34118
-13.520131,10.784888,2021,E07000117,Burnley,94651,13930,326,1505,78112,778,75200,42735,40035,2700,32465
-12.999014,11.083495,2021,E07000118,Chorley,117733,2204,653,1773,112588,515,96370,59510,57244,2266,36860
-13.464325,10.509463,2021,E07000119,Fylde,81375,1173,331,1158,78332,381,69251,37339,35718,1621,31912
-13.592161,10.542267,2021,E07000120,Hyndburn,82237,12401,224,1091,67984,537,65631,37843,35627,2216,27788
-12.61019,11.543643,2021,E07000121,Lancaster,142939,5155,1215,2204,133063,1302,119638,65780,62399,3381,53858
-13.3731785,10.620454,2021,E07000122,Pendle,95758,25573,244,1488,67577,876,75224,42012,39625,2387,33212
-12.464729,11.47985,2021,E07000123,Preston,147834,29815,3489,4367,107321,2842,118670,71191,66634,4557,47479
-13.469227,10.049863,2021,E07000124,Ribble Valley,61565,1265,125,736,59256,183,51465,31251,30385,866,20214
-13.551673,10.291309,2021,E07000125,Rossendale,70868,3876,172,1043,65510,267,57301,34680,33118,1562,22621
-13.080469,10.970166,2021,E07000126,South Ribble,111035,2307,539,1908,105919,362,91498,56754,54709,2045,34744
-13.024061,11.139843,2021,E07000127,West Lancashire,117429,1232,388,1547,113795,467,98334,56523,53547,2976,41811
-13.0892935,11.002901,2021,E07000128,Wyre,111946,1109,273,1135,109139,290,94352,50307,47835,2472,44045
-13.313379,10.927948,2021,E07000129,Blaby,102924,8497,1594,2765,88753,1315,83666,53511,51446,2065,30155
-11.617201,11.983959,2021,E07000130,Charnwood,183970,22853,2840,4660,151459,2158,153100,89169,84799,4370,63931
-13.315043,10.784608,2021,E07000131,Harborough,97623,5298,699,2003,88851,772,80427,50315,48770,1545,30112
-13.067052,11.036695,2021,E07000132,Hinckley and Bosworth,113641,3147,692,1990,107180,632,93916,57944,55885,2059,35972
-13.456396,9.839482,2021,E07000133,Melton,51752,599,192,659,50142,160,42948,26369,25468,901,16579
-13.193086,10.895759,2021,E07000134,North West Leicestershire,104707,1543,642,1592,100449,481,86165,54001,51961,2040,32164
-13.596269,10.03592,2021,E07000135,Oadby and Wigston,57747,16131,1254,1873,36592,1897,47210,27441,25989,1452,19769
-13.570518,10.328672,2021,E07000136,Boston,70505,1443,467,1015,66733,847,57584,35260,33631,1629,22324
-12.391344,11.321731,2021,E07000137,East Lindsey,142295,1134,292,1484,139100,285,121420,59088,55579,3509,62332
-13.339056,11.066405,2021,E07000138,Lincoln,103814,3347,1466,2068,95665,1268,87064,50590,46715,3875,36474
-12.951603,11.064822,2021,E07000139,North Kesteven,118072,1160,416,1368,114729,399,98017,58978,56894,2084,39039
-13.353731,10.771596,2021,E07000140,South Holland,95122,1176,517,1225,91623,581,78998,47209,45234,1975,31789
-12.49749,11.440374,2021,E07000141,South Kesteven,143405,2529,875,1951,137421,629,118011,71185,68195,2990,46826
-13.349802,10.747403,2021,E07000142,West Lindsey,95153,1136,333,1081,92261,342,79120,44159,42138,2021,34961
-12.52215,11.418483,2021,E07000143,Breckland,141477,1340,820,2051,136457,809,117855,68440,65638,2802,49415
-12.681209,11.252938,2021,E07000144,Broadland,131723,1831,684,1842,126869,497,110505,64827,62589,2238,45678
-13.379507,10.922943,2021,E07000145,Great Yarmouth,99750,1936,1104,1575,94361,774,82719,44475,41139,3336,38244
-12.270639,11.597629,2021,E07000146,King's Lynn and West Norfolk,154326,2886,843,2022,147563,1012,128888,72399,69220,3179,56489
-13.15024,10.814363,2021,E07000147,North Norfolk,102978,565,183,978,101007,245,89143,43616,41657,1959,45527
-12.486879,11.62019,2021,E07000148,Norwich,143924,7867,3578,4519,125421,2539,120763,71055,65720,5335,49708
-12.494779,11.374354,2021,E07000149,South Norfolk,141948,2562,1164,2094,135474,654,117219,70090,67749,2341,47129
-13.464724,9.952083,2021,E07000163,Craven,56927,972,87,569,55143,156,48283,27943,27131,812,20340
-13.310448,10.624129,2021,E07000164,Hambleton,90692,664,244,741,88764,279,76985,44737,43405,1332,32248
-11.955351,11.585752,2021,E07000165,Harrogate,162668,2947,1036,2573,155244,868,135306,82286,79686,2600,53020
-13.477341,9.823271,2021,E07000166,Richmondshire,49781,1346,440,462,46989,544,41736,25526,24675,851,16210
-13.45406,9.89955,2021,E07000167,Ryedale,54707,325,93,424,53701,164,46325,26772,25961,811,19553
-13.161643,10.9831085,2021,E07000168,Scarborough,108736,1372,331,1069,105460,504,92109,48974,46549,2425,43135
-13.325176,10.656568,2021,E07000169,Selby,91988,694,228,884,89854,328,75430,47832,46121,1711,27598
-12.902215,11.258596,2021,E07000170,Ashfield,126299,1968,1575,2059,120147,550,102843,61531,58427,3104,41312
-13.020212,11.109387,2021,E07000171,Bassetlaw,117803,1455,736,1405,113620,587,97370,57282,54920,2362,40088
-13.224733,11.116925,2021,E07000172,Broxtowe,110940,6152,1867,2819,98636,1466,92538,54415,51915,2500,38123
-12.96686,11.077634,2021,E07000173,Gedling,117264,4532,2675,4130,104918,1009,96462,58689,56186,2503,37773
-13.206495,11.050014,2021,E07000174,Mansfield,110482,2234,1174,1544,104712,818,90170,53882,51367,2515,36288
-12.907802,11.171512,2021,E07000175,Newark and Sherwood,122959,1411,804,1844,118366,534,101968,59562,57114,2448,42406
-13.000702,11.116028,2021,E07000176,Rushcliffe,119077,6775,1095,3303,106827,1077,97724,59116,56978,2138,38608
-11.992983,11.589459,2021,E07000177,Cherwell,161015,9706,2845,4614,141831,2019,130586,88197,84970,3227,42389
-11.49685,11.274077,2021,E07000178,Oxford,162040,24991,7535,9005,114561,5948,136718,77669,73326,4343,59049
-12.280127,11.437837,2021,E07000179,South Oxfordshire,149088,4263,1467,3402,138785,1171,121491,79136,76476,2660,42355
-12.576142,11.363893,2021,E07000180,Vale of White Horse,138913,5490,2315,3452,126104,1552,112425,73280,70863,2417,39145
-12.986274,10.994105,2021,E07000181,West Oxfordshire,114236,1936,722,2141,108773,664,93810,60809,58926,1883,33001
-13.000108,11.048037,2021,E07000187,Mendip,116089,1298,369,1666,112351,405,96052,57860,55671,2189,38192
-12.869326,11.209664,2021,E07000188,Sedgemoor,125341,1806,423,1431,121085,596,103782,61679,59148,2531,42103
-11.738056,11.706019,2021,E07000189,South Somerset,172670,2330,816,2023,166829,672,143817,84072,80935,3137,59745
